Postsynaptic_ID	c_i
720575940616072665	0.5727
720575940616087323	0.4576
720575940616089995	0.5000
720575940616092603	0.6697
720575940616095517	0.6571
720575940616097163	0.5306
720575940616105302	0.2857
720575940616109398	0.4889
720575940616110363	0.6067
720575940616121501	0.3441
720575940616128669	0.0000
720575940616134630	0.7273
720575940616139606	0.5915
720575940616162373	0.4651
720575940616187649	0.7656
720575940616189509	0.4211
720575940616208965	0.1667
720575940616222438	0.7692
720575940616229410	0.7879
720575940616235810	0.4179
720575940616245365	0.8462
720575940616260825	0.3143
720575940616264148	0.0000
720575940616270453	0.7162
720575940616284955	1.0000
720575940616295069	0.0000
720575940616306210	0.0000
720575940616308597	0.1771
720575940616309563	0.4118
720575940616343611	0.1429
720575940616345403	0.1143
720575940616347916	0.0000
720575940616349755	0.5857
720575940616350011	0.6379
720575940616358459	0.4356
720575940616358715	0.7432
720575940616368245	0.4118
720575940616402260	0.1600
720575940616417364	0.3611
720575940616426869	0.3667
720575940616428917	0.3968
720575940616434772	0.4507
720575940616438085	0.7963
720575940616440098	0.2973
720575940616474395	0.6176
720575940616475717	0.7456
720575940616490326	0.5882
720575940616502017	0.2500
720575940616539419	0.1471
720575940616547648	0.3191
720575940616547904	0.4310
720575940616569227	0.3780
720575940616578390	0.7262
720575940616578646	0.2143
720575940616580182	0.9634
720575940616588374	0.4091
720575940616588683	0.3871
720575940616589142	0.4028
720575940616589888	0.2041
720575940616598555	0.8987
720575940616616075	0.2667
720575940616627851	0.4048
720575940616646873	0.6818
720575940616647990	0.1618
720575940616649433	0.4800
720575940616650201	0.7000
720575940616654166	0.1203
720575940616663769	0.5867
720575940616672822	0.2157
720575940616673497	0.9467
720575940616675638	0.4048
720575940616677661	0.0000
720575940616701657	1.0000
720575940616702262	0.5361
720575940616707421	0.2981
720575940616707668	0.6500
720575940616711254	0.7556
720575940616711510	0.4483
720575940616723549	0.7071
720575940616746123	0.2941
720575940616746891	0.6582
720575940616748827	0.5714
720575940616781241	0.8194
720575940616786065	0.6184
720575940616786833	0.8533
720575940616788409	0.5802
720575940616790713	0.3279
720575940616798784	0.1026
720575940616804753	0.4023
720575940616813457	0.8866
720575940616821393	0.0435
720575940616826001	0.6100
720575940616836421	0.4000
720575940616848192	1.0000
720575940616852763	0.0930
720575940616859259	0.3590
